Port,Id,Len,B0,B1,B2,B3,B4,B5,B6,B7,PGN,DaSa,B0.1,B1.1,B2.1,B3.1,B4.1,B5.1,B6.1,B7.1
CAN,18682601,3,13,7D,86,,,,,,1868,2601,10011,1111101,10000110,0,0,0,0,0
CAN,18650126,8,2C,E8,13,C2,FF,FF,FF,0F,1865,0126,101100,11101000,10011,11000010,11111111,11111111,11111111,1111
CAN,18650126,8,2C,E8,23,E0,FF,FF,FF,7,1865,0126,101100,11101000,100011,11100000,11111111,11111111,11111111,111
CAN,18650126,8,2C,EA,23,26,0,0,0,4,1865,0126,101100,11101010,100011,100110,0,0,0,100
CAN,18650126,8,2C,EA,33,EE,FF,FF,FF,0D,1865,0126,101100,11101010,110011,11101110,11111111,11111111,11111111,1101
CAN,18650126,8,2C,E8,13,B0,FF,FF,FF,1,1865,0126,101100,11101000,10011,10110000,11111111,11111111,11111111,1
CAN,18650126,8,2C,E8,23,C6,FF,FF,FF,9,1865,0126,101100,11101000,100011,11000110,11111111,11111111,11111111,1001
CAN,18650126,8,2C,EA,23,1E,0,0,0,6,1865,0126,101100,11101010,100011,11110,0,0,0,110
CAN,18650126,8,2C,EA,33,20,0,0,0,0E,1865,0126,101100,11101010,110011,100000,0,0,0,1110
CAN,18650126,8,2C,E8,13,C2,FF,FF,FF,3,1865,0126,101100,11101000,10011,11000010,11111111,11111111,11111111,11
CAN,18650126,8,2C,E8,23,AC,FF,FF,FF,0B,1865,0126,101100,11101000,100011,10101100,11111111,11111111,11111111,1011
CAN,18650126,8,2C,EA,23,1E,0,0,0,8,1865,0126,101100,11101010,100011,11110,0,0,0,1000
CAN,18650126,8,2C,EA,33,10,0,0,0,0,1865,0126,101100,11101010,110011,10000,0,0,0,0
CAN,18682601,3,11,7E,4,,,,,,1868,2601,10001,1111110,100,0,0,0,0,0
CAN,18650126,8,2C,E8,23,C6,FF,FF,FF,0D,1865,0126,101100,11101000,100011,11000110,11111111,11111111,11111111,1101
CAN,18EF0126,8,2A,F0,23,A0,DC,FF,FF,1,18EF,0126,101010,11110000,100011,10100000,11011100,11111111,11111111,1
CAN,18650126,8,2C,E8,13,D4,FF,FF,FF,5,1865,0126,101100,11101000,10011,11010100,11111111,11111111,11111111,101
CAN,18650126,8,2C,EA,23,0E,0,0,0,0A,1865,0126,101100,11101010,100011,1110,0,0,0,1010
CAN,18650126,8,2C,EA,33,10,0,0,0,2,1865,0126,101100,11101010,110011,10000,0,0,0,10
CAN,18640126,4,28,0,0,0,,,,,1864,0126,101000,0,0,0,0,0,0,0
CAN,18650126,8,2C,E8,13,C2,FF,FF,FF,7,1865,0126,101100,11101000,10011,11000010,11111111,11111111,11111111,111
CAN,18650126,8,2C,E8,23,E8,FF,FF,FF,0F,1865,0126,101100,11101000,100011,11101000,11111111,11111111,11111111,1111
CAN,0C682601,3,0C,0,0,,,,,,0C68,2601,1100,0,0,0,0,0,0,0
CAN,18650126,8,2C,EA,23,0E,0,0,0,0C,1865,0126,101100,11101010,100011,1110,0,0,0,1100
